Round,ClientID,ClientAccuracy,ClientTrainingTime
0,client7,0.5300416418798334,74.7010049817618
0,client8,0.5280508964719491,78.0132400104776
0,client6,0.503473641193298,110.5857799993828
0,client17,0.4866284622731614,103.01434400025755
0,client19,0.5593818984547462,105.7751449989155
0,client16,0.49912331969608414,91.63448101026006
0,client14,0.4864864864864865,116.55226201401092
0,client15,0.47804878048780486,158.75158499693498
0,client4,0.5077910174152154,121.90166299114935
0,client11,0.5550755939524838,134.90673998603597
1,client8,0.5130133024869867,81.04276200174354
1,client7,0.5443188578227246,75.63670800300315
1,client6,0.5492439722108704,109.05034199822694
1,client17,0.49474689589302767,91.46246500313282
1,client19,0.5377483443708609,95.05684601026587
1,client16,0.5213325540619521,96.48475999711081
1,client14,0.49487418452935694,122.37390299560502
1,client15,0.5121951219512195,169.75929599720985
1,client4,0.5297891842346472,123.60682099824771
1,client11,0.5572354211663066,139.92219799547456
2,client19,0.5439293598233995,109.27815799368545
2,client6,0.5561912545974663,125.48152898671106
2,client17,0.5434574976122254,87.20899099716917
2,client14,0.5279589934762349,117.03734000911936
2,client16,0.5365283459964932,91.37159999227151
2,client7,0.5484830458060678,73.58038099482656
2,client15,0.5200750469043152,155.1313370000571
2,client8,0.5176402544823597,93.82292101508938
2,client4,0.5307057745187901,101.39999198145233
2,client11,0.5460763138948884,148.51230799104087
3,client6,0.534940743767879,114.13763300515711
3,client7,0.5651397977394408,72.39231100538746
3,client8,0.5222672064777328,81.30767400143668
3,client17,0.5300859598853869,90.28552999370731
3,client19,0.555849889624724,95.34559899475425
3,client16,0.5289304500292227,100.65452600247227
3,client14,0.5219012115563839,114.94164701434784
3,client15,0.5144465290806755,155.29738902114332
3,client4,0.5270394133822182,97.12226298870519
3,client11,0.5640748740100792,135.79679597751237
4,client8,0.5292076344707923,81.53209899319336
4,client6,0.5508786268900695,109.69325999030843
4,client7,0.5270672218917312,68.52724601048976
4,client19,0.5108167770419426,102.81326100812294
4,client17,0.5291308500477555,89.65989199350588
4,client16,0.548801870251315,97.90260600857437
4,client14,0.5041938490214353,116.1647469853051
4,client15,0.5290806754221389,154.02563699171878
